UF,Codigo SIAFI Municipio,Nome Municipio,Valor Parcela
RN,1761,NATAL,12400
AM,251,LABREA,14100
RS,8791,PELOTAS,7800
RS,8815,RIO GRANDE,7800
PE,2497,OURICURI,28900
PA,447,CASTANHAL,29400
PA,433,BRAGANCA,20200
PE,2327,BARREIROS,25500
RO,41,NOVA BRASILANDIA D'OESTE,12400
PA,427,BELEM,12400
PA,411,ALTAMIRA,31300
SP,6929,PRESIDENTE PRUDENTE,8500
BA,3849,SALVADOR,12400
BA,3629,ITAPETINGA,17200
PI,1139,OEIRAS,8500
SP,6619,JUNDIAI,16300
RJ,5865,NITEROI,24700
SP,7107,SAO PAULO,8500
MA,921,SAO LUIS,16300
CE,1383,CRATEUS,30100
TO,9241,ARAGUAINA,12400
SP,7107,SAO PAULO,17000
SP,6373,CUNHA,7800
AC,145,SENA MADUREIRA,42700
CE,1409,ICO,29300
PE,2477,LIMOEIRO,22500
PA,427,BELEM,22600
PE,2531,RECIFE,3900
PA,443,CAPANEMA,11700
MT,9193,CANARANA,21800
MG,4067,ARACUAI,8500
CE,1559,SOBRAL,16300
GO,9373,GOIANIA,8500
CE,1369,CASCAVEL,24100
MG,4701,JANAUBA,14200
AL,2705,ARAPIRACA,20200
CE,1389,FORTALEZA,12400
PA,427,BELEM,8500
MA,957,SANTA INES,16300
PR,7481,CAMPO LARGO,12400
BA,3849,SALVADOR,11300
PI,1159,PICOS,24100
CE,1447,JUAZEIRO DO NORTE,3900
BA,3593,IRECE,17000
CE,1389,FORTALEZA,14700
MG,4263,CARANDAI,17000
PI,1211,SAO RAIMUNDO NONATO,32700
PE,2627,VITORIA DE SANTO ANTAO,29400
PE,2379,CARPINA,12400
BA,3861,SANTALUZ,25700
RJ,5895,SAO FIDELIS,8700
SC,8221,NAVEGANTES,8700
AM,281,TEFE,20000
BA,3849,SALVADOR,12600
MA,723,BACABAL,51100
PB,2095,MONTEIRO,13100
PI,1057,CORRENTE,25700
BA,3651,JACOBINA,8500
SC,8105,FLORIANOPOLIS,17200
SP,6475,GUARUJA,7800
BA,3313,ALAGOINHAS,8500
CE,1383,CRATEUS,3900
SP,6291,CAMPINAS,25500
PE,2571,SAO JOSE DO EGITO,34200
PE,2577,SERRA TALHADA,17000
BA,3849,SALVADOR,8500
TO,9241,ARAGUAINA,26200
PE,2631,ABREU E LIMA,16300
PE,2517,PESQUEIRA,30100
SP,7107,SAO PAULO,20200
AM,255,MANAUS,16300
MG,5241,SAO GOTARDO,7800
BA,3871,SANTO AMARO,13100
BA,3575,INHAMBUPE,16300
RJ,5819,CAMPOS DOS GOITACAZES,17100
SP,6163,ARARAQUARA,8500
BA,3747,MURITIBA,8700
SP,6921,PRAIA GRANDE,22700
RN,1761,NATAL,12400
BA,3573,ILHEUS,12400
SP,7107,SAO PAULO,3900
MG,4865,MONTES CLAROS,7800
CE,1429,ITAPIPOCA,42200
